comum_id;par_impar_id;par_impar_comum_id
1;1852990836;1852990836
2;1852990836;1852990836
3;1852990836;1852990836
4;1852990836;1852990836
5;1852990836;1852990836
6;1852990836;1852990836
7;1852990836;1852990836
8;1852990836;1852990836
9;1852990836;1852990836
10;1852990836;1852990836
11;1852990836;1852990836
12;1852990836;1852990836
13;1852990836;1852990836
14;1852990836;1852990836
15;1852990836;1852990836
16;1852990836;1852990836
17;1852990836;1852990836
18;1852990836;1852990836
19;1852990836;1852990836
20;1852990836;1852990836
21;1852990836;1852990836
22;1852990836;1852990836
23;1852990836;1852990836
24;1852990836;1852990836
25;1852990836;1852990836
26;1852990836;1852990836
27;1852990836;1852990836
28;1852990836;1852990836
29;1852990836;1852990836
30;1852990836;1852990836
31;1852990836;1852990836
32;1852990836;1852990836
33;1852990836;1852990836
34;1852990836;1852990836
35;1852990836;1852990836
36;1852990836;1852990836
37;1852990836;1852990836
38;1852990836;1852990836
39;1852990836;1852990836
40;1852990836;1852990836
41;1852990836;1852990836
42;1852990836;1852990836
43;1852990836;1852990836
44;1852990836;1852990836
45;1852990836;1852990836
46;1852990836;1852990836
47;1852990836;1852990836
48;1852990836;1852990836
49;1852990836;1852990836
50;1852990836;1852990836
51;1852990836;1852990836
52;1852990836;1852990836
53;1852990836;1852990836
54;1852990836;1852990836
55;1852990836;1852990836
56;1852990836;1852990836
57;1852990836;1852990836
58;1852990836;1852990836
59;1852990836;1852990836
60;1852990836;1852990836
61;1852990836;1852990836
62;1852990836;1852990836
63;1852990836;1852990836
64;1852990836;1852990836
65;1852990836;1852990836
66;1852990836;1852990836
67;1852990836;1852990836
68;1852990836;1852990836
69;1852990836;1852990836
70;1852990836;1852990836
71;1852990836;1852990836
72;1852990836;1852990836
73;1852990836;1852990836
74;1852990836;1852990836
75;1852990836;1852990836
76;1852990836;1852990836
77;1852990836;1852990836
78;1852990836;1852990836
79;1852990836;1852990836
80;1852990836;1852990836
81;1852990836;1852990836
82;1852990836;1852990836
83;1852990836;1852990836
84;1852990836;1852990836
85;1852990836;1852990836
86;1852990836;1852990836
87;1852990836;1852990836
88;1852990836;1852990836
89;1852990836;1852990836
90;1852990836;1852990836
91;1852990836;1852990836
92;1852990836;1852990836
93;1852990836;1852990836
94;1852990836;1852990836
95;1852990836;1852990836
96;1852990836;1852990836
97;1852990836;1852990836
98;1852990836;1852990836
99;1852990836;1852990836
100;1852990836;1852990836
101;1852990836;1852990836
102;1852990836;1852990836
103;1852990836;1852990836
104;1852990836;1852990836
105;1852990836;1852990836
106;1852990836;1852990836
107;1852990836;1852990836
108;1852990836;1852990836
109;1852990836;1852990836
110;1852990836;1852990836
111;1852990836;1852990836
112;1852990836;1852990836
113;1852990836;1852990836
114;1852990836;1852990836
115;1852990836;1852990836
116;1852990836;1852990836
117;1852990836;1852990836
118;1852990836;1852990836
119;1852990836;1852990836
120;1852990836;1852990836
121;1852990836;1852990836
122;1852990836;1852990836
123;1852990836;1852990836
124;1852990836;1852990836
125;1852990836;1852990836
126;1852990836;1852990836
127;1852990836;1852990836
128;1852990836;1852990836
129;1852990836;1852990836
130;1852990836;1852990836
131;1852990836;1852990836
132;1852990836;1852990836
133;1852990836;1852990836
134;1852990836;1852990836
135;1852990836;1852990836
136;1852990836;1852990836
137;1852990836;1852990836
138;1852990836;1852990836
139;1852990836;1852990836
140;1852990836;1852990836
141;1852990836;1852990836
142;1852990836;1852990836
143;1852990836;1852990836
144;1852990836;1852990836
145;1852990836;1852990836
146;1852990836;1852990836
147;1852990836;1852990836
148;1852990836;1852990836
149;1852990836;1852990836
150;1852990836;1852990836
151;1852990836;1852990836
152;1852990836;1852990836
153;1852990836;1852990836
154;1852990836;1852990836
155;1852990836;1852990836
156;1852990836;1852990836
157;1852990836;1852990836
158;1852990836;1852990836
159;1852990836;1852990836
160;1852990836;1852990836
161;1852990836;1852990836
162;1852990836;1852990836
163;1852990836;1852990836
164;1852990836;1852990836
165;1852990836;1852990836
166;1852990836;1852990836
167;1852990836;1852990836
168;1852990836;1852990836
169;1852990836;1852990836
170;1852990836;1852990836
171;1852990836;1852990836
172;1852990836;1852990836
173;1852990836;1852990836
174;1852990836;1852990836
175;1852990836;1852990836
176;1852990836;1852990836
177;1852990836;1852990836
178;1852990836;1852990836
179;1852990836;1852990836
